Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
13380x6720	0.213848458929331	0.0266161519482342	0.0111155211080712	0.256134912587124	0.391835714450303	0.000302624926177094	0.10014661605076
13760x6720	0.203602533474486	0.0252613033415933	0.0116277909794408	0.264543436077084	0.387441455494148	0.00053865272778267	0.106984827905465
14140x6720	0.235576491092887	0.0295938732475552	0.0114103876635682	0.214473207500405	0.403228575170012	0.00336920003906441	0.102348265286508
14520x6720	0.254440388317674	0.030736121863167	0.010565808019691	0.198917349906773	0.393004472861862	0.00377896943315079	0.108556889597683
14900x6720	0.22260448573422	0.0258763738596409	0.00960385556662393	0.191736470887242	0.437802596515435	0.000702768353825923	0.111673449083012
15280x6720	0.229811073514182	0.0231220959914388	0.0117861062275551	0.183223649306952	0.424381506249101	0.000240154212899242	0.127435414497871
15660x6720	0.259385777567767	0.0226303470531768	0.0159026243834829	0.203622377240792	0.37406766629525	0.000164556449655742	0.124226651009874
16040x6720	0.26512072318251	0.0224298969566818	0.0125192761263323	0.220526059616169	0.385745569993584	5.76258048633797e-05	0.0936008483198593
16420x6720	0.263019592715647	0.0271150857501576	0.00831361482153379	0.230592512352048	0.394118819504437	3.8202690711321e-05	0.0768021721654643
16800x6720	0.287735698795966	0.0326366992979495	0.00814129556283605	0.240339812819741	0.367166591178547	5.94032566144131e-05	0.0639204990883452
17180x6720	0.232954416303999	0.0260124442220469	0.00520645249976518	0.262354137626751	0.408157111529667	5.20119381125618e-05	0.065263425879658
17560x6720	0.186224130357952	0.0199366844536734	0.00549393193280365	0.289395921558045	0.408218549019036	2.48446429674387e-05	0.090705938035523
17940x6720	0.216867619695228	0.0227294632163633	0.0106549634837029	0.263198650232722	0.370007443386367	2.94941246432677e-05	0.116512365860973
11100x7100	0.222570785797515	0.0246535079665146	0.0119079100080833	0.266153496348116	0.329374763435674	0.000304311289545347	0.145035225154553
11480x7100	0.194085237575225	0.0236044856658022	0.00827142668270316	0.25124987646714	0.390874344576724	0.000130757393252178	0.131783871639153
11860x7100	0.197336348685974	0.0253651462870744	0.0057859748954651	0.243479936243482	0.415590156728234	9.56464100188833e-05	0.112346790749751
12240x7100	0.2075866308421	0.027323374842041	0.00736143282412629	0.231216923558437	0.414240494893949	0.0001113885176256	0.112159754521721
12620x7100	0.207135746338921	0.0259877125066067	0.00950815492207537	0.233107268472947	0.404431829251722	0.000283374802724171	0.119545913705004
13000x7100	0.214684422333114	0.0274981454154084	0.0111361229352928	0.256714714886179	0.388862261691929	0.000240153682600573	0.100864179055475
