Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
1467x428	0.253872813378034	0.0148850871105945	0.0477550431721309	0.333731136903244	0.294785204319817	0.00277484398857826	0.0521958711276012
1500x428	0.269780165219328	0.0155995163243163	0.0488390484293307	0.324672007948621	0.284575703612758	0.00273646352746501	0.0537970949381809
1533x428	0.304038701569849	0.016886126530567	0.052079154577307	0.306258200660042	0.260309528369185	0.00247671930743393	0.0579515689856161
1566x428	0.351122032308708	0.0189847551124509	0.0629555757624402	0.271183885888867	0.227244929552761	0.00203636956973824	0.0664724518050346
1599x428	0.408418295040536	0.0229014763220942	0.0695385560177862	0.230601660465799	0.195926032635094	0.00208882597048132	0.0705251535482102
1632x428	0.456549653289851	0.025513702447268	0.0702121244572093	0.195299833793156	0.181319647971103	0.00216764582482023	0.0689373922165917
1665x428	0.515578270810836	0.0225240540937799	0.0669745448061764	0.151034013148419	0.174796553111912	0.00373595236998234	0.065356611658895
1698x428	0.498811553637909	0.0183403031882554	0.0701452356928316	0.155743124726582	0.182560299836724	0.00442445298069354	0.0699750299370043
1731x428	0.465104593918658	0.0181169257730324	0.0709489551902173	0.17749737378111	0.191016785081838	0.00264637942654682	0.0746689868285972
1764x428	0.473267082239973	0.0215422088429715	0.071908697289051	0.180668135949894	0.191671217559226	0.00192681367343213	0.0590158444454529
1797x428	0.493394786229803	0.0271257704917238	0.0598530639238539	0.163378404283449	0.202580885855707	0.0028600884791802	0.0508070007362833
1830x428	0.510631202839035	0.027197576197627	0.0665635817376354	0.13097205306244	0.212153057482883	0.00298261114972986	0.0494999175306491
1863x428	0.509952749725046	0.0238410152394231	0.0799009426610212	0.119259725493519	0.189130700716349	0.00164601436504699	0.0762688517995942
1896x428	0.48513359835435	0.0194648861482011	0.0925883193390767	0.125845996754802	0.183244062558619	0.00100220581306448	0.0927209310318864
1929x428	0.480691524833264	0.0175576875426532	0.0940815240292473	0.149412620951963	0.174736641930115	0.000952158536580299	0.0825678421761768
1269x461	0.0753899960312404	0.00605924943324611	0.0137366228174807	0.420106169990394	0.466382250894615	0.000721487387910395	0.0176042234451137
1302x461	0.0833387672805784	0.00786778829017185	0.0160722310052888	0.407034100623926	0.460906390018597	0.00084533853318724	0.0239353842482503
1335x461	0.0913538738235569	0.0084598428485693	0.021383262920963	0.408930030412553	0.441761667632014	0.000983632118749797	0.027127690243594
1368x461	0.126374305010272	0.00954517787223066	0.0312316308441293	0.397984570447119	0.396206538971627	0.00190129535667862	0.0367564814979428
1401x461	0.177105900936337	0.0115093090546009	0.0394736730451067	0.373235977375904	0.35248616843675	0.00245476671848401	0.043734204432817
1434x461	0.225920731020606	0.0133431617904353	0.0440671049552696	0.348650009537554	0.317330000943672	0.00270985018252835	0.0479791415699346
1467x461	0.255745243169688	0.0144264907069799	0.0457353649253017	0.333871662934122	0.297118527512537	0.00269475374334291	0.0504079570080279
1500x461	0.278758473775144	0.0150292296105233	0.0467729357276556	0.325742709385512	0.278260635590055	0.00253352327031524	0.0529024926407953
1533x461	0.31395594221214	0.0162316644731103	0.0507118982772206	0.307896832331247	0.251284699253491	0.00227767794381164	0.0576412855089806
1566x461	0.3752746071965	0.0179098602112369	0.0585573300547047	0.276337096559928	0.204112492784788	0.00170324687366102	0.0661053663191825
1599x461	0.415286545654365	0.0233388621917597	0.071643536043799	0.220507141178353	0.198436707270212	0.00205424713219761	0.068732960529313
1632x461	0.435841497720034	0.0245565891307314	0.0706229183763671	0.209731888551431	0.190907797409871	0.00187836241350175	0.0664609463980642
1665x461	0.493649131367091	0.0223212297357587	0.0633229907382955	0.186211613631331	0.172711493770452	0.00263988392919345	0.0591436568278779
1698x461	0.490048400433215	0.0186491441346923	0.0644992428716947	0.171879624918004	0.185611926021932	0.00359027057182996	0.065721391048632
1731x461	0.459577811125452	0.0180277476314458	0.0623391304666874	0.181671931459814	0.209457057890057	0.00280542554064311	0.0661208958859003
